Loan Loss Provisions  ,Total Deposits Ratio,Non-Interest Expenses,Loan Loss Provisions Ratio,Cumulative Gaps Over Total Assets,Profits Before Tax,Target
2887292.375,0.06826770779130156,928707.6221012924,2.632933194822976,31.937058914820987,215333.40830811136,1.0
2887292.375,0.06826770779130156,650166.0,2.632933194822976,60.461667374111904,273733.0,1.0
37857.0,0.009917668036661654,44552.0,1.9963423856125397,46.21850602390646,5342.0,1.0
650476.0,0.06826770779130156,444717.0,2.2204198779457918,55.087240883041176,328951.0,1.0
13372.0,0.04064522355085065,135138.0,0.34215624964817165,78.88647287708858,164651.0,0.0
227731.0,0.06826770779130156,809032.0,0.48329130523435315,59.53380070718018,177884.0,1.0
660.4714238487722,3.582887962495775e-05,1339.0,0.4636118750448708,19.378492268280457,459.0,0.0
10977.0,0.00512380813800281,24200.0,0.6877367090510963,11.122846218021575,27811.0,0.0
2887292.375,0.06826770779130156,2545666.0,2.632933194822976,30.677210643622384,-686485.0,1.0
797.0,0.006517219342144704,34389.0,0.05281800981473934,13.101220891805221,24840.377774084925,1.0
83168.0,0.009264087231246844,59311.0,2.632933194822976,-9.819270002522488,42172.0,1.0
5387.0,0.010090256014010068,171195.0,0.17344933972051055,36.524560343275105,99117.0,0.0
2772.0,0.005224380502227175,34349.0,0.1623767456818154,58.819089973658976,73119.0,0.0
21765.0,0.031720104256469366,156327.0,0.40665102839831063,51.753938188272635,188402.0,0.0
108021.0,0.06826770779130156,1074200.0,0.20862121004125803,36.37069569807794,223186.0,1.0
15049.0,0.009790225795620002,27919.0,0.5591468004645871,45.364806536933095,72539.0,0.0
794699.0,0.06826770779130156,581920.0,2.0053085861406026,45.96356693754895,876815.0,1.0
2887292.375,0.06826770779130156,714397.0,2.632933194822976,46.82038110004221,151441.0,1.0
595.8661469679815,0.00010944878864868133,1739.0,0.3985272137021697,-21.96385425727264,1257.0,0.0
514.4929342976588,0.00023922418410072838,3122.0,0.28627604040879634,6.496820425926766,3786.0,0.0
1353.0,0.0031117664095844247,20090.0,0.1009059158610228,42.48251559581022,26258.0,0.0
38918.499997059575,0.017050024649145266,114033.0,0.8226895498722923,50.2564961051129,-7722.0,1.0
1881042.1422205435,0.06826770779130156,3471457.0,1.8915015819460272,23.631905303683943,114753.0,1.0
2887292.375,0.06826770779130156,1009211.0,2.632933194822976,47.88424958920639,222286.0,1.0
21809.0,0.0058742788319023605,41114.0,0.9230771835416384,22.919879140789178,59482.0,0.0
75374.0,0.010009747237468624,177297.0,1.2629097054914138,16.02161993867527,37636.0,0.0
30089.916455632796,0.004940169477034576,51790.0,1.5627891217586,-21.404563867343025,22088.21222686408,1.0
11845.0,0.0034605601004083076,34248.0,0.8614745943178314,31.67090680978602,34002.0,0.0
413.0,0.0007641543701269904,5359.0,0.12551894333108432,22.158051722442558,5009.0,0.0
7704.0,0.012671443908351317,89638.0,0.16885916172736085,53.1136849203752,98031.0,0.0
160.0,0.0002381790404133995,5220.0,0.10430519700644085,26.172977765334455,6650.0,0.0
828835.0,0.06826770779130156,1012549.0,1.5462027876105362,52.191350973362084,1498585.0,0.0
27968.0,0.02109750874352046,213905.0,0.46719136604697437,47.45582094685971,177927.0,0.0
3757.0,0.0005039325453650304,6244.0,1.7245573850256826,69.87947866756063,7366.0,0.0
444056.0,0.06826770779130156,1332507.0,0.6921123882437902,39.97721409156074,253024.0,1.0
3756.0,0.005319778660877863,47773.0,0.1436385448451698,45.9468996016686,93128.0,0.0
24791.0,0.014947739783092287,52029.0,0.7175065698838838,79.16190157225071,104039.0,0.0
26027.0,0.0353083653668971,197887.0,0.3885533296797447,50.93343936334263,282148.0,0.0
2204.0,0.0013511623005040018,9122.0,0.4135301666879311,-48.36858168321355,1678.0,1.0
95449.0,0.012455342851426207,99218.0,2.632933194822976,21.21255002144778,107012.0,1.0
158639.0,0.06826770779130156,1848800.0,0.21256086391904114,52.09435985376359,525184.0,1.0
1342730.0,0.06826770779130156,1142186.0,2.1996108019232885,60.073541285842985,1759883.0,1.0
19471.0,0.004053559240618921,50258.0,0.7271995255332149,16.449240180185523,85333.0,0.0
4360.0,0.00316740813847805,36178.0,0.2620809709979755,41.27936220618709,-41864.0,0.0
349.0,8.118083819410231e-05,4726.0,0.5488111712165052,58.266890329350204,3093.0,0.0
1735.0,0.002404897108664744,36984.0,0.13893014976429918,57.25247999681045,29124.0,0.0
92799.0,0.011773782281441198,246275.0,1.0999086994826226,0.9493797419995922,71910.0,1.0
488.0,0.00021070128617369999,6758.0,0.2506484501399625,20.85682619824606,7879.0,0.0
11028.0,0.0065583009884603045,85574.0,0.23100217617120805,12.659366158944293,58946.0,0.0
16046.0,0.006764274436376849,53911.697081737795,0.6878609222892059,56.603880021888614,98531.4340530784,0.0
12280.0,0.013217240000113793,146839.0,0.2060386090850275,56.36216574781823,138446.0,0.0
82286.0,0.012316347376540204,80756.0,1.9507659540773679,56.1381450098254,148615.0,0.0
27671.0,0.005742525686436561,66140.0,0.7784168861130326,50.551011214587795,111140.0,0.0
3653.0,0.0005609306161571644,11634.0,1.1019607843137256,70.33946882364181,14164.0,0.0
45903.0,0.021239068685015586,289748.0,0.5448273390021742,50.30011751489415,289009.0,0.0
86974.0,0.012570514337952754,178050.0,1.6166062829319359,15.441708529804599,286067.0,0.0
36537.0,0.006282698454795144,61021.0,1.0971353827286983,17.02645403237878,102547.0,0.0
5466.0,0.01694739481279199,147469.0,0.08496608584745743,45.27967717787119,22633.0,0.0
2208.0,0.004692138005525678,34140.0,0.16356912573487578,-37.83505038500804,46882.0,1.0
